2017-11-05 00:00:08, with, /
2017-11-05 02:02:03, 22.1, 51.5
2017-11-05 02:02:18, 22.1, 51.5
2017-11-05 02:02:33, 22.1, 51.5
2017-11-05 02:02:48, 22.1, 51.5
2017-11-05 02:03:03, 22.1, 51.6
2017-11-05 02:03:18, 22.1, 51.6
2017-11-05 02:03:34, 22.1, 51.6
2017-11-05 02:03:49, 22.1, 51.6
2017-11-05 02:04:04, 22.1, 51.6
2017-11-05 02:04:19, 22.1, 51.6
2017-11-05 02:04:41, 22.1, 51.6
2017-11-05 02:04:56, 22.1, 51.6
2017-11-05 02:05:11, 22.1, 51.6
2017-11-05 02:05:26, 22.1, 51.6
2017-11-05 02:05:42, 22.1, 51.6
2017-11-05 02:05:57, 22.1, 51.7
2017-11-05 02:06:12, 22.1, 51.7
2017-11-05 02:06:27, 22.1, 51.6
2017-11-05 02:06:42, 22.1, 51.7
2017-11-05 02:06:57, 22.1, 51.7
2017-11-05 02:07:13, 22.1, 51.7
2017-11-05 02:07:28, 22.1, 51.7
2017-11-05 02:07:43, 22.1, 51.7
2017-11-05 02:07:58, 22.1, 51.7
2017-11-05 02:08:13, 22.1, 51.8
2017-11-05 02:08:29, 22.1, 51.8
2017-11-05 02:08:44, 22.1, 51.8
2017-11-05 02:08:59, 22.1, 51.8
2017-11-05 02:09:14, 22.1, 51.8
2017-11-05 02:09:29, 22.1, 51.8
2017-11-05 02:09:44, 22.1, 51.8
2017-11-05 02:10:00, 22.1, 51.8
2017-11-05 02:10:15, 22.1, 51.8
2017-11-05 02:10:30, 22.1, 51.8
2017-11-05 02:10:45, 22.1, 51.9
2017-11-05 02:11:00, 22.1, 51.8
2017-11-05 02:11:16, 22.1, 51.8
2017-11-05 02:11:31, 22.1, 51.8
2017-11-05 02:11:46, 22.1, 51.9
2017-11-05 02:12:01, 22.1, 51.9
2017-11-05 02:12:16, 22.1, 51.9
2017-11-05 02:12:32, 22.1, 51.9
2017-11-05 02:12:47, 22.1, 51.9
2017-11-05 02:13:02, 22.1, 51.9
2017-11-05 02:13:17, 22.1, 51.9
2017-11-05 02:13:32, 22.1, 51.9
2017-11-05 02:13:47, 22.1, 51.9
2017-11-05 02:14:03, 22.1, 52.0
2017-11-05 02:14:18, 22.1, 52.0
2017-11-05 02:14:33, 22.1, 52.0
2017-11-05 02:14:48, 22.1, 52.0
2017-11-05 02:15:03, 22.1, 52.0
2017-11-05 02:15:19, 22.1, 52.0
2017-11-05 02:15:34, 22.1, 52.0
2017-11-05 02:15:49, 22.1, 52.0
2017-11-05 02:16:04, 22.1, 52.0
2017-11-05 02:16:26, 22.1, 52.1
2017-11-05 02:16:41, 22.1, 52.1
2017-11-05 02:16:56, 22.1, 52.1
2017-11-05 02:17:11, 22.1, 52.1
2017-11-05 02:17:26, 22.1, 52.1
2017-11-05 02:17:42, 22.1, 52.1
2017-11-05 02:17:57, 22.1, 52.1
2017-11-05 02:18:12, 22.1, 52.1
2017-11-05 02:18:27, 22.1, 52.1
2017-11-05 02:18:42, 22.1, 52.1
2017-11-05 02:18:57, 22.1, 52.2
2017-11-05 02:19:13, 22.1, 52.2
2017-11-05 02:19:28, 22.1, 52.2
2017-11-05 02:19:43, 22.1, 52.2
2017-11-05 02:19:58, 22.1, 52.2
2017-11-05 02:20:13, 22.1, 52.2
2017-11-05 02:20:35, 22.1, 52.3
2017-11-05 02:20:51, 22.1, 52.3
2017-11-05 02:21:06, 22.1, 52.3
2017-11-05 02:21:21, 22.1, 52.3
2017-11-05 02:21:36, 22.1, 52.3
2017-11-05 02:21:51, 22.1, 52.3
2017-11-05 02:22:06, 22.1, 52.3
2017-11-05 02:22:22, 22.1, 52.4
2017-11-05 02:22:38, 22.1, 52.4
2017-11-05 02:22:53, 22.1, 52.4
2017-11-05 02:23:08, 22.1, 52.4
2017-11-05 02:23:23, 22.1, 52.4
2017-11-05 02:23:39, 22.1, 52.4
2017-11-05 02:23:54, 22.1, 52.4
2017-11-05 02:24:09, 22.1, 52.4
2017-11-05 02:24:24, 22.1, 52.5
2017-11-05 02:24:46, 22.1, 52.5
2017-11-05 02:25:01, 22.1, 52.5
2017-11-05 02:25:17, 22.1, 52.5
2017-11-05 02:25:32, 22.1, 52.5
2017-11-05 02:25:47, 22.1, 52.5
2017-11-05 02:26:02, 22.1, 52.5
2017-11-05 02:26:17, 22.1, 52.5
2017-11-05 02:26:32, 22.1, 52.5
2017-11-05 02:26:48, 22.1, 52.6
2017-11-05 02:27:03, 22.1, 52.6
2017-11-05 02:27:18, 22.1, 52.6
2017-11-05 02:27:33, 22.1, 52.6
2017-11-05 02:27:48, 22.1, 52.6
2017-11-05 02:28:10, 22.1, 52.6
2017-11-05 02:28:26, 22.1, 52.6
2017-11-05 02:28:41, 22.1, 52.6
2017-11-05 02:28:56, 22.1, 52.6
2017-11-05 02:29:11, 22.1, 52.6
2017-11-05 02:29:26, 22.1, 52.6
2017-11-05 02:29:42, 22.1, 52.6
2017-11-05 02:29:57, 22.1, 52.6
2017-11-05 02:30:19, 22.1, 52.7
2017-11-05 02:30:34, 22.1, 52.7
2017-11-05 02:30:49, 22.1, 52.7
2017-11-05 02:31:04, 22.1, 52.7
2017-11-05 02:31:26, 22.1, 52.7
2017-11-05 02:31:41, 22.1, 52.7
2017-11-05 02:31:56, 22.1, 52.7
2017-11-05 02:32:12, 22.1, 52.7
2017-11-05 02:32:27, 22.1, 52.7
2017-11-05 02:32:42, 22.1, 52.7
2017-11-05 02:32:57, 22.1, 52.8
2017-11-05 02:33:12, 22.1, 52.8
2017-11-05 02:33:28, 22.1, 52.8
2017-11-05 02:33:43, 22.1, 52.8
2017-11-05 02:33:59, 22.1, 52.8
2017-11-05 02:34:14, 22.1, 52.8
2017-11-05 02:34:29, 22.1, 52.8
2017-11-05 02:34:44, 22.1, 52.8
2017-11-05 02:35:00, 22.1, 52.8
2017-11-05 02:35:15, 22.1, 52.8
2017-11-05 02:35:30, 22.1, 52.8
2017-11-05 02:35:45, 22.1, 52.8
